ArticleTitle,ArticleID,Fund,WinningBid 
Dell Laptop w/Bag,79519,General Fund,$78.51 
21 Dell Optiplex 760 Computers,79530,General Fund,$451.51 
"4 Asanti 24"" Chrome Rims",79539,Enterprise,$2000.00 
10Kt Yellow Gold Rope Chain,79577,Enterprise,$815.00 
Men's Diamond Watch,79589,Enterprise,$460.00 
Coach Purse,79618,Enterprise,$29.00 
1994 Pontiac Firebird,79630,Enterprise,$568.00 
Wheel Chair Lift,79662,Enterprise,$158.99 
1 Pallet of Assorted Tires,79667,Enterprise,$106.00 
3 Catalytic Converters,79706,Enterprise,$125.01 
Ladies Sunglasses,79730,Enterprise,$77.00 
Ladies Sunglasses,79733,Enterprise,$62.00 
Ladies Sunglasses,79736,Enterprise,$145.00 
Ladies Sunglasses,79737,Enterprise,$29.00 
Ladies Sunglasses,79743,Enterprise,$80.00 
4 Air Tanks,79744,General Fund,$28.00 
Sunglasses,79745,Enterprise,$258.00 
Southbend Fryer,79759,Enterprise,$258.00 
Desk,79762,General Fund,$8.00 
3 File Cabinets,79765,General Fund,$33.11 
2 Care Play Easels,79792,General Fund,$65.00 
Hammond Organ w/Bench,79799,General Fund,$62.78 
"3 Sony 20"" Televisions",79800,General Fund,$2.00 
"Dell 17"" Flat Screen Monitor",79824,General Fund,$27.00 
Clear Modem,79846,Enterprise,$16.00 
7 Stereo Headsets for iPhone,79847,Enterprise,$36.00 
11 Apple Dock Connectors to USB,79848,Enterprise,$25.00 
11 Apple Dock Connectors to USB,79849,Enterprise,$38.00 
5 USB 2.0 Dock Connectors to USB for iPhone,79850,Enterprise,$17.00 
8 Dock Connectors to USB for iPhone,79851,Enterprise,$20.56 
8 Dock Connectors to USB for iPhone,79852,Enterprise,$20.51 
9 Cell Phone Batteries,79859,Enterprise,$24.00 
13 Cube Stereo Hands Free Adaptors,79860,Enterprise,$22.01 
2 Gevey Sim Cards,79865,Enterprise,$4.50 
Sharp Cash Register w/Pin Identifier Unit,79866,Enterprise,$20.01 
Dell Laptop,79874,General Fund,$75.00 
Dell Laptop,79876,General Fund,$73.00 
Dell Laptop,79881,General Fund,$65.00 
Dell Computer System,79883,General Fund,$73.51 
Dell Computer System,79885,General Fund,$63.51 
8 Chairs,79895,Enterprise,$84.05 
7 Rugs,79900,Enterprise,$155.00 
1974 Cadillac Eldorado Convertible,79910,Enterprise,$410.00 
Storage Cabinet,79912,Enterprise,$62.00 
Winston Warmer,79913,Enterprise,$50.00 
2 Vollrath Warming Cabinets,79914,Enterprise,$125.00 
Hobart 512 TMS Slicer,79915,Enterprise,$126.99 
Hobart 512 Slicer,79918,Enterprise,$98.99 
Hobart 512 TMS Slicer,79919,Enterprise,$79.99 
Hobart 512 TMS Slicer,79920,Enterprise,$34.00 
Hobart 410 Slicer,79921,Enterprise,$16.00 
Assorted Kitchen Ware,79922,Enterprise,$81.27 
Assorted Kitchen Ware,79924,Enterprise,$377.00 
Kitchen Items,79925,Enterprise,$33.00 
Kitchen Items,79926,Enterprise,$11.00 
Kitchen Ware,79928,Enterprise,$243.99 
2 Storage Bins,79929,Enterprise,$111.99 
Table,79930,Enterprise,$111.00 
Table,79931,Enterprise,$111.00 
Pressure Washer,79932,Enterprise,$105.99 
Cash Register,79934,Enterprise,$5.01 
Cash Register,79935,Enterprise,$5.01 
Cash Register,79936,Enterprise,$5.01 
Cash Register,79937,Enterprise,$6.00 
Milk Cooler,79938,Enterprise,$53.10 
Table w/3-Drawers,79939,Enterprise,$363.00 
Desk,79940,Enterprise,$52.00 
2 Rolling Carts,79941,Enterprise,$75.01 
Sony VCR & DVD Players,79942,Enterprise,$52.00 
DVD & VCR,79943,Enterprise,$29.01 
Compact Refrigerator,79944,Enterprise,$8.00 
Cabinet,79945,Enterprise,$7.00 
FWC Warmer,79946,Enterprise,$41.99 
True Cooler,79947,Enterprise,$160.75 
Amana Commercial Microwave,79948,Enterprise,$27.00 
Eagle Stainless Steel Table,79949,Enterprise,$102.00 
Star Oven Toaster,79950,Enterprise,$317.00 
Eagle Stainless Steel Table,79951,Enterprise,$233.00 
Sico Folding Table w/Wheels,79952,Enterprise,$60.01 
Wire Rack,79954,Enterprise,$24.69 
Perlick Ice Holder,79955,Enterprise,$117.48 
Picture,79956,Enterprise,$32.00 
15 Ceramic Bowls,79957,Enterprise,$108.00 
6 Heath Flow Measurement Rods,79958,Enterprise,$79.99 
Hon 2-Drawer File Cabinet,79959,Enterprise,$22.51 
Fellowes Powershred 320 Shredder,79960,Enterprise,$88.01 
Lighting Kit w/Case,79961,Enterprise,$140.00 
1 Pallet of Assorted Keyboard Trays,79962,Enterprise,$4.01 
Assorted VHS Tapes,79963,Enterprise,$68.00 
Casio Calculator,79964,General Fund,$7.00 
Canon Calculator,79965,General Fund,$9.00 
HP Laser Jet 4100dtn,79966,General Fund,$47.01 
Printer Stand,79968,Enterprise,$6.00 
Dell Power Edge 6850 Server,79969,General Fund,$38.99 
CD Rack,79970,General Fund,$21.00 
Elmo 16-CL Optical Projector w/Cart,79971,General Fund,$130.01 
2003 Ford F-450,79976,Enterprise,$9100.00 
2003 Chevrolet Malibu,79977,Enterprise,$2125.00 
2008 International Cab & Chassis,79978,Enterprise,$2125.00 
2003 Ford F-450,79979,Enterprise,$9000.00 
2003 Chevrolet Malibu,79980,Enterprise,$2625.00 
2007 Toyota Camry,79981,Enterprise,$5550.00 
1996 Honda Accord,79982,Enterprise,$1726.00 
2005 Buick LeSabre,79983,Enterprise,$1525.00 
1968 Pontiac Catalina,79986,Enterprise,$1375.00 
Beverage Air Refrigerator w/Wheels,79987,Enterprise,$27.01 
Hanging Rack,79988,Enterprise,$41.00 
Lockwood Coat Rack,79989,Enterprise,$53.60 
4 Chairs,79990,Enterprise,$21.00 
3 Chairs,79991,Enterprise,$12.06 
Childrens Playset Items,79992,Enterprise,$57.01 
Podium,79994,Enterprise,$12.00 
3 Cambro Food Carts,79995,Enterprise,$308.00 
Kid Size U-Shaped Table,79996,Enterprise,$22.01 
11 Rugs,79997,Enterprise,$915.00 
Care Play Art Easel,79998,Enterprise,$9.50 
Counter w/Sink,79999,Enterprise,$6.00 
Pro Cart II Mobile Treatment Console,80000,Enterprise,$156.99 
Wooden Shelf,80001,Enterprise,$14.00 
10 Chairs,80004,Enterprise,$13.00 
HP Color Laser Jet 4600 Printer,80006,Enterprise,$153.00 
Lateral File Cabinet,80008,General Fund,$81.00 
"3 Sony 18"" Flat Screen Monitors",80009,Enterprise,$25.00 
9 Monitor Stands,80010,Enterprise,$17.00 
"15 Dell 17"" Flat Screen Monitors",80011,Enterprise,$148.50 
11 Dell Computers,80012,General Fund,$371.51 
Dell Laptop,80014,General Fund,$76.51 
Dell Laptop,80015,General Fund,$27.00 
Dell Laptop,80017,General Fund,$52.00 
Dell Laptop,80018,General Fund,$57.00 
4 Chairs,80019,Enterprise,$6.00 
Bar Stool,80021,Enterprise,$21.00 
Table,80022,Enterprise,$27.00 
Table,80023,Enterprise,$13.20 
Table,80024,Enterprise,$2.00 
Table,80025,Enterprise,$1.00 
Table,80026,Enterprise,$2.00 
Table,80027,Enterprise,$2.00 
Table,80028,Enterprise,$2.00 
2 Chairs,80029,Enterprise,$7.00 
"Dell 17"" Flat Screen Monitor",80030,Enterprise,$23.50 
Table,80031,Enterprise,$1.00 
Book Rack,80032,General Fund,$47.00 
Book Rack,80033,General Fund,$27.00 
Dell 2330dn Laser Printer,80035,General Fund,$13.50 
Dell 1250c Printer,80036,General Fund,$7.90 
63 Assorted Dell Computers,80037,General Fund,$1250.00 
15 Dell Laptops,80038,General Fund,$620.00 
